time,amplitude
9.959900000000e-05,9.248619006604e-12
9.959950000000e-05,-1.526912512861e-11
9.960000000000e-05,-3.630899618520e-11
9.960050000000e-05,-4.907833698904e-11
9.960100000000e-05,-5.066836703075e-11
9.960150000000e-05,-4.071678550624e-11
9.960200000000e-05,-2.149032438574e-11
9.960250000000e-05,2.631558848704e-12
9.960300000000e-05,2.615424636672e-11
9.960350000000e-05,4.371955485097e-11
9.960400000000e-05,5.132626476019e-11
9.960450000000e-05,4.724156221052e-11
9.960500000000e-05,3.239577519923e-11
9.960550000000e-05,1.017048298122e-11
9.960600000000e-05,-1.437174139457e-11
9.960650000000e-05,-3.564050583865e-11
9.960700000000e-05,-4.879101613851e-11
9.960750000000e-05,-5.082766761388e-11
9.960800000000e-05,-4.128642528198e-11
9.960850000000e-05,-2.234055056383e-11
9.960900000000e-05,1.694414461996e-12
9.960950000000e-05,2.534365279039e-11
9.961000000000e-05,4.322015652776e-11
9.961050000000e-05,5.125182155114e-11
9.961100000000e-05,4.760903559958e-11
9.961150000000e-05,3.312146371080e-11
9.961200000000e-05,1.108908733485e-11
9.961250000000e-05,-1.346946596967e-11
9.961300000000e-05,-3.496008667453e-11
9.961350000000e-05,-4.848744651017e-11
9.961400000000e-05,-5.097010068594e-11
9.961450000000e-05,-4.184242101708e-11
9.961500000000e-05,-2.318346414718e-11
9.961550000000e-05,7.565854425199e-13
9.961600000000e-05,2.452453322480e-11
9.961650000000e-05,4.270633289514e-11
9.961700000000e-05,5.116033956026e-11
9.961750000000e-05,4.796073793152e-11
9.961800000000e-05,3.383624135388e-11
9.961850000000e-05,1.200412641767e-11
9.961900000000e-05,-1.256259802005e-11
9.961950000000e-05,-3.426796322893e-11
9.962000000000e-05,-4.816772686278e-11
9.962050000000e-05,-5.109561673107e-11
9.962100000000e-05,-4.238458619869e-11
9.962150000000e-05,-2.401878410989e-11
9.962200000000e-05,-1.816166840430e-13
9.962250000000e-05,2.369715873403e-11
9.962300000000e-05,4.217825281017e-11
9.962350000000e-05,5.105184697301e-11
9.962400000000e-05,4.829655029851e-11
9.962450000000e-05,3.453986921159e-11
9.962500000000e-05,1.291529572489e-11
9.962550000000e-05,-1.165143827671e-11
9.962600000000e-05,-3.356436395620e-11
9.962650000000e-05,-4.783196133426e-11
9.962700000000e-05,-5.120417184822e-11
9.962750000000e-05,-4.291273888541e-11
9.962800000000e-05,-2.484623191281e-11
9.962850000000e-05,-1.119880227606e-12
9.962900000000e-05,2.286180316031e-11
9.962950000000e-05,4.163608988898e-11
9.963000000000e-05,5.092637763082e-11
9.963050000000e-05,4.861635905723e-11
9.963100000000e-05,3.523211204094e-11
9.963150000000e-05,1.382229199804e-11
9.963200000000e-05,-1.073628893574e-11
9.963250000000e-05,-3.284952115353e-11
9.963300000000e-05,-4.748025940778e-11
9.963350000000e-05,-5.129572776640e-11
9.963400000000e-05,-4.342670176828e-11
9.963450000000e-05,-2.566553159641e-11
9.963500000000e-05,-2.057893437227e-12
9.963550000000e-05,2.201874303335e-11
9.963600000000e-05,4.108002244966e-11
9.963650000000e-05,5.078397102056e-11
9.963700000000e-05,4.892005586729e-11
9.963750000000e-05,3.591273835141e-11
9.963800000000e-05,1.472481332592e-11
9.963850000000e-05,-9.817453558112e-12
9.963900000000e-05,-3.212367088426e-11
9.963950000000e-05,-4.711273587610e-11
9.964000000000e-05,-5.137025185819e-11
9.964050000000e-05,-4.392630223036e-11
9.964100000000e-05,-2.647640987282e-11
9.964150000000e-05,-2.995344604690e-12
9.964200000000e-05,2.116825747884e-11
9.964250000000e-05,4.051023345368e-11
9.964300000000e-05,5.062467226215e-11
9.964350000000e-05,4.920753772796e-11
9.964400000000e-05,3.658152048241e-11
9.964450000000e-05,1.562255924508e-11
9.964500000000e-05,-8.895236968994e-12
9.964550000000e-05,-3.138705289994e-11
9.964600000000e-05,-4.672951080405e-11
9.964650000000e-05,-5.142771715126e-11
9.964700000000e-05,-4.441137240464e-11
9.964750000000e-05,-2.727859621697e-11
9.964800000000e-05,-3.931922168090e-12
9.964850000000e-05,2.031062812600e-11
9.964900000000e-05,3.992691044564e-11
9.964950000000e-05,5.044853209429e-11
9.965000000000e-05,4.947870701303e-11
9.965050000000e-05,3.723823467939e-11
9.965100000000e-05,1.651523083989e-11
9.965150000000e-05,-7.969945156611e-12
9.965200000000e-05,-3.063991056113e-11
9.965250000000e-05,-4.633070948940e-11
9.965300000000e-05,-5.146810233811e-11
9.965350000000e-05,-4.488174923047e-11
9.965400000000e-05,-2.807182295686e-11
9.965450000000e-05,-4.867314815379e-12
9.965500000000e-05,1.944613901433e-11
9.965550000000e-05,3.933024549155e-11
9.965600000000e-05,5.025560685834e-11
9.965650000000e-05,4.973347150399e-11
9.965700000000e-05,3.788266116870e-11
9.965750000000e-05,1.740253084200e-11
9.965800000000e-05,-7.041885170727e-12
9.965850000000e-05,-2.988249075700e-11
9.965900000000e-05,-4.591646242182e-11
9.965950000000e-05,-5.149139178386e-11
9.966000000000e-05,-4.533727450839e-11
9.966050000000e-05,-2.885582536286e-11
9.966100000000e-05,-5.801211587845e-12
9.966150000000e-05,1.857507649957e-11
9.966200000000e-05,3.872043511563e-11
